Model,Accuracy,AUC
LogisticRegression,0.49892466002713165,0.49952191332091234
DecisionTreeClassifier,0.723621083280945,0.637350340744273
RandomForestClassifier,0.8677497270290838,0.7605917279224437
GradientBoostingClassifier,0.5926943056612514,0.5493808920430621
MLPClassifier,0.620984018793634,0.6290888896152631
